"roomId","00:23:69:5a:d7:7a","00:80:48:79:cc:79","00:80:48:7a:2d:45","f0:d7:aa:29:0d:34","bc:8a:e8:0b:95:bb","cc:61:e5:44:16:b1","00:80:48:7a:2d:44","c4:86:e9:36:5c:89","00:80:48:79:cc:70","c4:0b:cb:da:ed:eb","50:8f:4c:bd:a4:c9","00:80:48:7a:2d:1a","cc:61:e5:43:87:98","c0:ee:fb:d3:ff:81","d2:f8:8c:95:f0:66","38:37:8b:c4:af:81","04:b1:67:ca:05:fd","00:80:48:79:cc:73","00:80:48:79:cc:7b","94:65:2d:e4:c1:46","02:0c:e8:d1:75:96","00:80:48:79:cc:71","00:80:48:79:cc:7c","d4:63:c6:5a:06:39","00:80:48:79:cc:77","00:80:48:79:cc:78","04:f0:21:08:7a:39","88:79:7e:2b:6f:d5","28:56:5a:0b:eb:a6","00:80:48:79:cc:72","e4:46:da:81:80:bd","f8:d1:11:4c:26:a2","88:79:7e:2b:0d:f2","bc:8a:e8:0e:0c:d7","82:01:84:14:31:ed","7a:0c:b8:64:e4:8e","b0:e2:35:58:4d:fd","54:b8:02:34:bd:db","72:82:d5:98:64:21","c4:e9:84:51:c3:88","c4:0b:cb:d9:51:3b","c0:ee:fb:31:1b:a4","c4:e9:84:7e:ce:d8","c4:e9:84:7a:86:5e","d4:6e:0e:e8:2c:c8","1c:b7:2c:4d:68:19","00:80:48:7a:2d:42","c4:72:95:9a:ab:50","00:6f:64:39:3b:94","68:c4:4d:16:38:8c","90:8d:78:10:3d:09","18:a6:f7:b7:49:fc","bc:8a:e8:05:b8:39","90:8d:78:cb:ca:35","38:b1:db:06:54:cc","10:62:eb:12:f5:13","d4:6e:0e:e8:2c:c7","d4:6e:0e:e8:2c:c6","60:8e:08:3d:fb:04","c0:ee:fb:71:bd:b4","c8:3a:35:35:2e:30","84:1b:5e:88:3b:c2","00:80:48:7a:2d:3e","c0:ee:fb:33:61:4b","00:80:48:7a:2d:1e","c4:0b:cb:d0:39:49","e8:de:27:c0:31:6e","30:84:54:22:47:df","94:65:2d:76:f8:51","9c:65:f9:1d:7d:48","94:65:2d:f2:46:db","e4:46:da:bc:da:5b","94:65:2d:60:87:b6","80:58:f8:37:87:90","d4:63:c6:58:04:6d","aa:66:7f:73:25:65","38:a4:ed:c5:7b:77","a8:a7:95:27:4f:ef","c0:ee:fb:71:7a:be","dc:1a:c5:3e:a6:bf","ec:01:ee:ff:e3:05","bc:8a:e8:09:24:36","f4:f5:24:b1:dd:8d","34:ce:00:59:5c:af","30:b4:9e:05:8c:7a","f4:f2:6d:4e:20:70","c4:e9:84:e8:3b:aa","90:8d:78:cd:a5:53","84:16:f9:62:31:54","00:80:48:79:cc:5c","40:4e:36:5c:b1:30","00:ec:0a:2b:e1:cf","c0:25:e9:a9:0a:b4","74:23:44:9a:81:d1","c8:d7:79:d0:2d:16","ac:c1:ee:66:f9:6d","4c:60:de:e1:88:0a","c8:b3:73:3c:80:6c","00:80:48:7a:2d:46","e8:de:27:90:b2:ea","88:79:7e:40:50:54","94:65:2d:b3:a5:ea","00:80:48:79:cc:7f","f4:f5:db:82:52:d5","60:e3:27:c1:94:f0","00:80:48:79:cc:62","00:80:48:79:cc:5d","94:65:2d:cc:d5:2c","d6:0b:1a:f3:a7:f2","c0:25:e9:07:8a:72","00:80:48:79:cc:8b","1c:5f:2b:59:f2:8c","bc:8a:e8:01:4f:97","40:5d:82:db:27:70","cc:61:e5:88:1b:30","94:65:2d:08:31:63","c0:ee:fb:fd:a1:0e","00:80:48:79:cc:7a","dc:ce:c1:73:ee:c0","84:16:f9:58:86:48","e4:6f:13:c4:04:59","5c:51:88:88:f4:95","94:65:2d:f1:b0:cf","c0:ee:fb:d7:7f:da","f4:8b:32:2a:01:d5","b6:f7:a1:b0:58:01","78:02:f8:96:c2:61","00:80:48:79:cc:65","2c:33:11:10:c9:ee","d4:6e:0e:e8:26:28","64:db:43:0a:f4:7b","b0:10:41:75:95:a3","98:fc:11:ec:39:8f","e6:61:8b:43:d6:64","00:80:48:79:cc:5f","10:07:b6:16:98:a8","f8:32:e4:41:7d:48","66:db:43:a9:85:b3","02:1a:11:f2:49:36","c0:56:27:91:07:cf","0a:a3:c4:f4:a0:05","58:d7:59:5e:e4:6c","00:17:7c:5b:14:ec","4c:5e:0c:1f:4f:ce","98:de:d0:40:50:ec","94:65:2d:73:74:2f","c0:ee:fb:d7:5c:67","c8:d7:79:a7:5c:50","76:33:cb:b8:e3:a4","d4:6e:0e:e8:26:27","68:c4:4d:86:93:97","a8:6b:ad:96:4b:36","6a:ef:43:6c:ed:ea","2c:33:11:17:4a:e1","14:91:82:61:2d:9d","60:8e:08:3c:f8:4e"
"2FqdirQC8Imj7AYnLPF6",,-81,,,,-78,,,,,,,,,,,,,-90,,-82,,,,,-72,,,,,,,-78,,-88,,,-84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2FqdirQC8Imj7AYnLPF6",,-80,,,,-78,,,,,,,,,,,,,,,-82,,,,,-72,,,,,,,-85,,-88,,-90,-84,-96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2FqdirQC8Imj7AYnLPF6",,-77,,,,-90,,,,,,,,,,,,,,,,,,,,-68,,,,,,,-85,-84,-84,,-90,-78,-96,,-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2FqdirQC8Imj7AYnLPF6",,-77,,,,-90,,,,,,,,,,,,,,,-90,,,,,-76,,,,,,,-80,-79,-84,,-89,-81,,,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2FqdirQC8Imj7AYnLPF6",,,,,,,,,,,,,,,,,,,,,-90,,,,,-71,,,,,,,-80,-77,,,-84,-76,-79,,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2FqdirQC8Imj7AYnLPF6",,,,,,,,,,,,,,,,,,,,,,,,,,-74,,,,,,,-83,-77,,,-80,-80,-79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2FqdirQC8Imj7AYnLPF6",,,,,,,,,,,,,,,,,,,-83,,,,,,,-71,,,,,,,-83,,,,-80,-79,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2FqdirQC8Imj7AYnLPF6",,,,,,-83,,,,,,,,,,,,,-83,,,,,,,-71,,,,,,,-86,,,,,-80,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2FqdirQC8Imj7AYnLPF6",,,,,,-83,,,,,,,,,,,,,,,,,,,,-69,,,,,,,-83,,,,,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2FqdirQC8Imj7AYnLPF6",,-83,,,,-78,,,,,,,,,,,,,-86,,-83,,,,,-72,,,,,,,-83,,-89,,-79,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2FqdirQC8Imj7AYnLPF6",,-79,,,,-76,,,,,,,,,,,,,-86,,-83,,,,,-65,,,,,,,,,-89,,-79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2FqdirQC8Imj7AYnLPF6",,-79,,,,-82,,,,,,,,,,,,,,,,,,,,-65,,,,,,,,,,,-78,-84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2FqdirQC8Imj7AYnLPF6",,-74,,,,-86,,,,,,,,,,,,,,,,,,,,-66,,,,,,,,-80,-84,,-85,-84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2FqdirQC8Imj7AYnLPF6",,-74,,,,-86,,,,,,,,,,,,,,,-86,,,,,-68,,,,,,,-77,-79,-84,,-85,-91,-87,,,-91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2FqdirQC8Imj7AYnLPF6",,,,,,-80,,,,,,,,,,,,,,,-86,,,,,-75,,,,,,,-77,-80,,,-84,-91,-87,,,-91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2FqdirQC8Imj7AYnLPF6",,,,,,-78,,,,,,,,,,,,,,,-85,,,,,-75,,,,,,,-78,-87,,,-84,,-85,-96,,,-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2FqdirQC8Imj7AYnLPF6",,,,,,-78,,,,,,,,,,,,,,,-85,,,,,-74,,,,,,,-82,-87,-86,,-82,-84,-85,-96,,,-90,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2FqdirQC8Imj7AYnLPF6",,,,,,-81,,,,,,,,,,,,,,,,,,,,-74,,,,,,,-85,-84,-86,,-82,-84,,,,,,-86,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2FqdirQC8Imj7AYnLPF6",,,,,,-81,,,,,,,,,,,,,,,,,,,,-78,,,,,,,-80,-82,-86,,,-88,,,,,,,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2FqdirQC8Imj7AYnLPF6",,,,,,-82,,,,,,,,,,,,,,,,,,,,-78,,,,,,,-80,-82,-82,,,-81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2FqdirQC8Imj7AYnLPF6",,,,,,-82,,,,,,,,,,,,,,,,,,,,,,,,,,,-76,-82,-82,,,-85,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2FqdirQC8Imj7AYnLPF6",,-85,,,,-84,,,,,,,,,,,,,,,,,,,,-75,,,,,,,-80,-81,,,,-78,-80,,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2FqdirQC8Imj7AYnLPF6",,-84,,,,-84,,,,,,,,,,,,,-83,,,,,,,-75,,,,,,,-80,-77,,,,-78,-80,,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2FqdirQC8Imj7AYnLPF6",,-84,,,,,,,,,,,,,,,,,-83,,,,,,,-75,,,,,,,-77,-77,,,,-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2FqdirQC8Imj7AYnLPF6",,-84,,,,,,,,,,,,,,,,,,,,,,,,-78,,,,,,,-74,-82,,,,-82,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2FqdirQC8Imj7AYnLPF6",,-84,,,,-82,,,,,,,,,,,,,-81,,-86,,,,,-81,,,,,,,-73,-77,,,,,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2FqdirQC8Imj7AYnLPF6",,-76,,,,-81,,,,,,,,,,,,,-81,,-85,,,,,-72,,,,,,,-82,-77,-84,,,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2FqdirQC8Imj7AYnLPF6",,-81,,,,-82,,,,,,,,,,,,,,,-85,,,,,-72,,,,,,,-77,,-85,,-89,-87,,,-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2FqdirQC8Imj7AYnLPF6",,-81,,,,-75,,,,,,,,,,,,,,,-85,,,,,-72,,,,,,,-76,-75,-85,,-85,-87,,,-88,,-90,,,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2FqdirQC8Imj7AYnLPF6",,,,,,-76,,,,,,,,,,,,,,,-85,,,,,,,,,,,,-79,-79,,,-83,,,,,,-90,,,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2FqdirQC8Imj7AYnLPF6",,,,,,-76,,,,,,,,,,,,,,,-83,,,,,,,,,,,,-79,-86,,,-83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2FqdirQC8Imj7AYnLPF6",,,,,,-81,,,,,,,,,,,,,,,-83,,,,,-73,,,,,,,-80,-86,,,-82,,,,,,,,,,-77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2FqdirQC8Imj7AYnLPF6",,,,,,-81,,,,,,,,,,,,,,,-78,,,,,-69,,,,,,,-82,,,,-82,-82,,,,,,,,,-77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2FqdirQC8Imj7AYnLPF6",,,,,,-85,,,,,,,,,,,,,,,-78,,,,,-69,,,,,,,-82,,,,-94,-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2FqdirQC8Imj7AYnLPF6",,,,,,-78,,,,,,,,,,,,,,,,,,,,-77,,,,,,,,-84,,,-94,,-93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2FqdirQC8Imj7AYnLPF6",,,,,,-82,,,,,,,,,,,,,,,,,,,,-77,,,,,,,-78,-84,-86,,,,-88,,-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2FqdirQC8Imj7AYnLPF6",,-81,,,,-82,,,,,,,,,,,,,,,,,,,,,,,,,,,-78,,-86,,,-82,-88,,-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coJEZuX2z78MFtLrr4vi",,-79,,-87,,,,,,,-95,,,,,,,,,,,,,,,,,,-90,,,,-88,,,,,,,,,,,,,,,-84,-93,-94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coJEZuX2z78MFtLrr4vi",,,,-75,,,,,,,,,,,,,,,,,,,,,,,,-92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coJEZuX2z78MFtLrr4vi",,,,-84,,,,-90,,,,,,,,,,,,,,,,,,,,-92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coJEZuX2z78MFtLrr4vi",,,,-84,,,,-90,,,-94,,,,,,,,,,,,,,,,,-92,,,,,,,,,,,,,,,,,,,,-83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coJEZuX2z78MFtLrr4vi",,,,-84,,,,-90,,,-94,,,,,,,,,,,,,,,,,-92,,,,,,,,,,,,,,,,,,,,-83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coJEZuX2z78MFtLrr4vi",,-83,,-76,,,,-90,,,-94,,,,,,,,,,,,,,,,,-94,,,,,,,,,,,,,,,,,,,,-83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coJEZuX2z78MFtLrr4vi",,-83,,-75,,,,-90,,,-94,,,,,,,,,,,,,,,,,-94,,,,,,,,,,,,,,,,,,,,-83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coJEZuX2z78MFtLrr4vi",,-83,,-76,,,,,,,,,,,,,,,,,,,,,,,,-94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coJEZuX2z78MFtLrr4vi",,-83,,-73,,,,,,,-95,,,,,,,,,,,,,,,-94,,-94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coJEZuX2z78MFtLrr4vi",,,,-78,,,,,,,-95,,,,,,,,,,,,,,,-94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coJEZuX2z78MFtLrr4vi",,,,-74,,,,,,,-95,,,,,,,,,,,,,,,-94,,,,,,,,,,,-91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coJEZuX2z78MFtLrr4vi",,-85,,-83,,,,,,,-95,,,,,,,,,,,,,,,-94,,,,,,,,,,,-91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coJEZuX2z78MFtLrr4vi",,-85,,-81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coJEZuX2z78MFtLrr4vi",,-85,,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coJEZuX2z78MFtLrr4vi",,-85,,-85,,,,,,,,,,,,,,,,,,,,,,,,,-85,,,,,,,,,,,,,,,,,,,,,,-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coJEZuX2z78MFtLrr4vi",,-76,,-83,,,,,,,,,,,,,,,,,,,,,,,,,-85,,,,,,,,-91,,,,,,,,,,,,,,-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coJEZuX2z78MFtLrr4vi",,-85,,-83,,,,,,,,,,,,,,,,,,,,,,,,,-85,,,,,,,,-91,,,-89,,,,,,,,,,,-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coJEZuX2z78MFtLrr4vi",,-85,,-81,,,,,,,,,,,,,,,,,,,,,,,,,-85,,,,,,,,-91,,,-89,,,,,,,,,,,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coJEZuX2z78MFtLrr4vi",,-85,,-84,,,,,-88,,,,,,,,,,,,,,,,,,,,-88,,,,,,,,-91,,,-89,,,,,,,,,,,-91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coJEZuX2z78MFtLrr4vi",,-85,,-77,,,,,-88,,,,,,,,,,,,,,,,,,,,-87,,,,,,,,,,,-89,,,,,,,,,,,-91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coJEZuX2z78MFtLrr4vi",,,,-76,,,,-94,-88,,,,,,,,,,,,,,,,,,,,-87,,,,,,,,,,,,,,,,,,,,,,-91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coJEZuX2z78MFtLrr4vi",,,,-78,,,,-92,-88,,,,,,,,,,,,,,,,,,,,-86,,,,,,,,,,,,,,,,,,,,,,-91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coJEZuX2z78MFtLrr4vi",,,,-73,,,,-92,-93,,,,,,,,,,,,,,,,,,,,-86,,,,,,,,,,,-89,,,,,,,,,,,,-91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coJEZuX2z78MFtLrr4vi",,,,-73,,,,-92,-93,,,,,,,,,,,,,,,,,,,,-86,,,,,,,,,,,-87,,,,,,,,,,,,-91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
